,,where middle leg attaches to thorax,first segment,first segment,first segment,,,,,,,,,
ID,Body Length (cm),Body Width (cm),Upper Femur Length (cm),Middle Femur Length (cm),Hind Femur Length (cm), Weight (mg),,Location Details,,,,Front Legs: responsible for catching prey,,
0313_North_1,,,,,,,,"North Fork, 3/13, 8:44",,,,,,
0313_North_2,,,,,,,,Water Speed (waxy leaf),49.65 sec/ 2 meter,,,,,
0313_North_3,,,,,,,,Water Temperature,16 degrees Celsius,,,,,
0313_North_4,,,,,,,,Location Weather,52 degrees Fahrenheit,,,,,
0313_North_5,,,,,,,,,,,,,,
0313_North_6,,,,,,,,,,,,,,
0313_North_7,,,,,,,,,,,,,,
0313_North_8,,,,,,,,,,,,,,
0313_Main_1,,,,,,,,"Main Stem, 3/13, 9:15",,,,,,
0313_Main_2,,,,,,,,Water Speed (waxy leaf),51.82 sec/ 2 meter,,,,,
0313_Main_3,,,,,,,,Water Temperature,14 degrees Celsius,,,,,
0313_Main_4,,,,,,,,Location Weather,54 degrees Fahrenheit,,,,,
0313_Main_5,,,,,,,,,,,,,,
0313_Main_6,,,,,,,,,,,,,,
0313_Main_7,,,,,,,,,,,,,,
0313_South_1,,,,,,,,"South Fork, 3/13, 9:40",,,,,,
0313_South_2,,,,,,,,Water Speed (waxy leaf),29 sec/ 2 meter,,,,,
0313_South_3,,,,,,,,Water Temperature,14.5 degrees Celsius ,,,,,
0313_South_4,,,,,,,,Location Weather,52 degrees Fahrenheit,,,,,
0313_South_5,,,,,,,,,,,,,,
0313_South_6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0319_North_1,1.42,0.32,0.434,0.909,0.844,54.2,4 per unit,,,,,,,
0319_North_2,1.416,0.301,0.419,0.841,0.802,56.2,4 per unit,,,,,,,
0319_North_3,1.352,0.263,0.395,0.841,0.712,45.5,4 per unit,,,,,,,
0319_North_4,0.874,0.29,0.335,0.755,0.737,16.7,4 per unit,,,,,,,
0319_North_5,1.387,0.305,0.4,0.963,0.958,54.2,4 per unit,,,,,,,
0319_North_6,1.394,0.336,0.368,0.89,0.872,53.5,4 per unit,,,,,,,
0319_North_7,1.28,0.353,0.455,0.983,0.978,42.1,4 per unit,,,,,,,
0319_North_8,1.312,0.314,0.391,0.987,0.879,46.8,4 per unit,,,,,,,
0319_North_9,1.402,0.246,0.38,0.973,0.866,47.3,4 per unit,,,,,,,
0319_North_10,1.172,0.27,0.362,0.949,0.878,44.9,4 per unit,,,,,,,
0319_North_11,1.354,0.293,0.351,0.898,0.887,47.6,4 per unit,,,,,,,
0319_North_12,0.884,0.251,0.258,0.65,0.617,18.2,4 per unit,,,,,,,
0319_North_13,0.933,0.255,0.276,0.771,0.68,15.7,4 per unit,,,,,,,
0319_North_14,0.776,0.19,0.301,0.754,0.673,29.7,4 per unit,,,,,,,
0319_North_15,0.973,0.277,0.287,0.723,0.693,23.6,4 per unit,,,,,,,
0319_North_16,0.991,0.259,0.261,0.735,0.669,19.5,4 per unit,,,,,,,
17,,,,,,28.5,,,,,,,,
18,,,,,,40.5,,,,,,,,
19,,,,,,9.1,,,,,,,,
20,,,,,,41.5,,,,,,,,
21,,,,,,31.5,,,,,,,,
0319_Main_1,1.399,0.284,0.351,0.889,0.816,46.4,,Body length - not including last segment,,5.594,1.135,1.402,3.554,3.265
0319_Main_2,0.904,0.271,0.253,0.823,0.716,24.5,,Units - 1 box per unit,,3.614,1.082,1.01,3.293,2.864
0319_Main_3,0.894,0.261,0.275,0.826,0.725,25.1,,,,3.577,1.043,1.1,3.303,2.898
0319_Main_4,0.777,0.239,0.297,0.714,0.648,17.3,,,,3.108,0.957,1.188,2.856,2.591
0319_Main_5,0.670,0.229,0.181,0.581,0.529,12,,,,2.68,0.916,0.725,2.323,2.114
0319_Main_6,0.616,0.229,0.182,0.515,0.464,11.2,,,,2.463,0.915,0.729,2.058,1.854
0319_Main_7,1.394,0.312,0.398,0.990,0.928,48.8,,,,5.577,1.246,1.591,3.958,3.71
0319_Main_8,1.142,0.248,0.341,0.919,0.819,30.1,,,,4.568,0.991,1.362,3.677,3.277
0319_Main_9,0.953,0.298,0.271,0.805,0.722,19.4,,,,3.812,1.193,1.082,3.218,2.887
0319_Main_10,1.499,0.292,0.380,0.987,0.871,56.8,,,,5.995,1.169,1.519,3.946,3.483
0319_Main_11,0.925,0.253,0.274,0.739,0.679,19.7,,,,3.699,1.012,1.095,2.956,2.714
0319_Main_12,1.173,0.270,0.375,0.923,0.848,39.6,,,,4.691,1.079,1.5,3.69,3.393
0319_Main_13,1.366,0.258,0.294,0.913,0.825,43.2,,,,5.462,1.032,1.176,3.653,3.3
0319_Main_14,0.684,0.232,0.196,0.528,0.458,11.4,,,,2.737,0.927,0.785,2.112,1.832
0319_Main_15,0.732,0.240,0.261,0.701,0.663,16.5,,,,2.927,0.961,1.044,2.804,2.651
0319_Main_16,1.212,0.255,0.324,0.886,0.812,33.1,,,,4.847,1.02,1.296,3.544,3.249
0319_Main_17,0.000,0.000,0.000,0.000,0.000,5.2,,,,,,,,
0319_Main_18,0.606,0.217,0.202,0.517,0.463,5.7,,,,2.425,0.866,0.806,2.067,1.852
0319_Main_19,0.800,0.270,0.287,0.705,0.684,5.5,,,,3.201,1.08,1.147,2.821,2.734
0319_Main_20,1.308,0.299,0.434,1.049,0.927,50.5,,,,5.232,1.195,1.735,4.197,3.706
0319_Main_21,0.915,0.262,0.310,0.741,0.652,15.8,,,,3.659,1.049,1.238,2.965,2.607
0319_Main_22,0.841,0.265,0.283,0.714,0.645,19.9,,,,3.362,1.061,1.13,2.854,2.579
0319_South_1,1.397,0.262,0.364,1.06,0.917,53.6,,,,,,,,
0319_South_2,1.437,0.277,0.391,0.953,0.934,49.7,,,,,,,,
0319_South_3,0.643,0.268,0.18,0.476,0.434,10.9,,,,,,,,
0319_South_4,1.255,0.364,0.364,0.907,0.258,42.8,,,,,,,,
0319_South_5,0.568,0.196,0.278,0.516,0.462,7.3,,,,,,,,
0319_South_6,1.468,0.296,0.406,1.142,0.998,39.6,,,,,,,,
0319_South_7,1.376,0.287,0.334,0.942,0.879,46.4,,,,,,,,
0319_South_8,0.748,0.247,0.679,0.609,0.243,12.7,,,,,,,,
0319_South_9,1.391,0.289,0.359,0.887,0.889,45.9,,,,,,,,
0319_South_10,0.909,0.239,0.306,0.709,0.625,19.7,,,,,,,,
0319_South_11,0.648,0.242,0.247,0.662,0.671,16.8,,,,,,,,
0319_South_12,0.977,0.266,0.281,0.738,0.675,34.7,,,,,,,,
0319_South_13,1.301,0.279,0.379,0.941,0.931,47.6,,,,,,,,
0319_South_14,1.311,0.297,0.395,0.956,0.881,47.4,,,,,,,,
0319_South_15,0.69,0.219,0.292,0.749,0.683,12.5,,,,,,,,
0319_South_16,1.337,0.256,0.371,1.01,1.024,42.2,,,,,,,,
0319_South_17,0.647,0.25,0.173,0.482,0.438,10.1,,,,,,,,
0319_South_18,0.592,0.221,0.166,0.484,0.444,9.1,,,,,,,,
0319_South_19,0.766,0.266,0.214,0.491,0.421,16.7,,,,,,,,
0313_South_20,,,,,,11,,,,,,,,
0313_South_21,,,,,,26.4,,,,,,,,
0313_South_22,,,,,,40.9,,,,,,,,
0313_South_23,,,,,,38.3,,,,,,,,
0313_South_24,,,,,,29.5,,,,,,,,
0313_South_25,,,,,,32.5,,,,,,,,